"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"69","7","","Kareem Hunt","CLE","RB27","9","29","112","71.0","13.1","66.0","-3.0"
"70","7","","D'Andre Swift","DET","RB28","5","40","147","71.3","18.8","61.0","-9.0"
"71","7","","Evan Engram","NYG","TE6","11","26","161","73.6","18.2","71.0","0.0"
"72","7","","Michael Gallup","DAL","WR32","10","50","116","74.7","10.4","76.0","+4.0"
"73","7","","Marquise Brown","BAL","WR33","8","37","113","76.9","10.8","70.0","-3.0"
"74","7","","Hunter Henry","LAC","TE7","10","52","144","77.7","16.4","78.0","+4.0"
"75","7","","Josh Allen","BUF","QB7","11","57","118","78.6","12.6","89.0","+14.0"
"76","7","","Tyler Higbee","LAR","TE8","9","40","133","79.8","16.6","73.0","-3.0"
"77","7","","Cam Akers","LAR","RB29","9","31","347","81.6","38.7","67.0","-10.0"
"78","7","","James White","NE","RB30","6","44","200","82.3","18.3","77.0","-1.0"
"79","7","","Marvin Jones","DET","WR34","5","41","148","83.3","13.4","92.0","+13.0"
"80","7","","Will Fuller","HOU","WR35","8","43","155","83.6","16.7","86.0","+6.0"
"81","7","","Matt Ryan","ATL","QB8","10","56","132","84.5","12.5","87.0","+6.0"
"82","7","","Brandin Cooks","HOU","WR36","8","49","189","86.7","18.0","83.0","+1.0"
"83","7","","Carson Wentz","PHI","QB9","9","54","131","91.2","13.6","97.0","+14.0"
"84","7","","Christian Kirk","ARI","WR37","8","48","167","92.1","16.3","103.0","+19.0"
"85","7","","Drew Brees","NO","QB10","6","61","134","92.1","13.4","84.0","-1.0"
"86","8","","Tom Brady","TB","QB11","13","61","158","95.1","14.0","80.0","-6.0"
"87","8","","Deebo Samuel","SF","WR38","11","50","208","95.3","30.7","85.0","-2.0"
"88","8","","Derrius Guice","WAS","RB31","8","47","181","95.6","19.1","82.0","-6.0"
"89","8","","Tarik Cohen","CHI","RB32","11","52","181","96.2","22.7","90.0","+1.0"
"90","8","","John Brown","BUF","WR39","11","58","148","96.8","16.3","117.0","+27.0"
"91","8","","Sterling Shepard","NYG","WR40","11","67","198","99.7","15.3","116.0","+25.0"
"92","8","","Aaron Rodgers","GB","QB12","5","69","154","99.8","14.4","95.0","+3.0"
"93","8","","Matt Breida","MIA","RB33","11","66","148","100.3","16.7","102.0","+9.0"
"94","8","","Austin Hooper","CLE","TE9","9","26","163","100.7","23.1","113.0","+19.0"
"95","8","","Diontae Johnson","PIT","WR41","8","32","184","100.7","22.8","100.0","+5.0"
"96","8","","Ke'Shawn Vaughn","TB","RB34","13","42","349","101.3","38.2","79.0","-17.0"
